Model,Horizon,Horizon_Months,Test_RMSE_Mean,Test_RMSE_Std,Test_MAE_Mean,Test_MAE_Std,Test_MAPE_Mean,Test_MAPE_Std,Trials_Completed
LSTM,2020,12,1479.812,121.241,1260.462,134.245,15.19%,1.70%,100
LSTM,2020-2021,24,1835.921,232.620,1662.891,230.416,18.81%,2.65%,100
LSTM,2020-2022,36,1807.034,314.952,1678.772,312.354,18.72%,3.49%,100
LSTM,2020-2023,48,1709.817,355.975,1552.352,353.134,17.23%,3.93%,100
Seq2Seq,2020,12,1757.199,143.691,1556.839,152.243,18.91%,1.92%,100
Seq2Seq,2020-2021,24,2394.830,221.500,2204.843,217.827,25.01%,2.52%,100
Seq2Seq,2020-2022,36,2602.031,264.728,2455.567,258.464,27.37%,2.91%,100
Seq2Seq,2020-2023,48,2649.668,287.738,2517.072,285.089,27.99%,3.21%,100
Seq2Seq+Attention,2020,12,1784.309,151.480,1588.466,162.623,19.32%,2.06%,100
Seq2Seq+Attention,2020-2021,24,2431.778,236.698,2243.216,233.773,25.46%,2.71%,100
Seq2Seq+Attention,2020-2022,36,2644.843,286.169,2498.736,280.019,27.87%,3.16%,100
Seq2Seq+Attention,2020-2023,48,2695.915,313.098,2563.617,311.508,28.52%,3.51%,100
TCN,2020,12,2722.136,1164.068,2453.316,1088.617,30.42%,13.77%,100
TCN,2020-2021,24,4624.557,3543.233,4083.555,2693.541,46.59%,30.58%,100
TCN,2020-2022,36,7237.147,11053.295,6059.658,7522.846,67.31%,82.37%,100
TCN,2020-2023,48,12460.337,32319.277,9475.475,20278.518,106.71%,230.09%,100
Transformer,2020,12,2044.844,106.865,1873.513,113.968,22.97%,1.45%,100
Transformer,2020-2021,24,2702.134,121.447,2532.009,125.178,28.89%,1.48%,100
Transformer,2020-2022,36,2914.756,128.939,2782.968,130.984,31.15%,1.50%,100
Transformer,2020-2023,48,2962.149,132.214,2843.354,134.423,31.73%,1.53%,100
SARIMA,2020,12,1570.929,0.000,1381.167,0.000,16.80%,0.00%,100
SARIMA,2020-2021,24,2097.611,0.000,1929.927,0.000,21.92%,0.00%,100
SARIMA,2020-2022,36,2243.618,0.000,2121.477,0.000,23.69%,0.00%,100
SARIMA,2020-2023,48,2262.533,0.000,2146.222,0.000,23.88%,0.00%,100
