Model,Type,Split,RMSE,RMSE Std,MAE,MAE Std,MAPE,MAPE Std,MSE,MSE Std,PI Coverage
LSTM,Target,Train,324.74485766516176,215.0262018327203,243.35766909090913,215.0262018327203,4.289071322952409,3.7444752602563582,105459.22257996615,183804.7700618956,100.0
LSTM,SARIMA,Train,553.6909721342735,468.5072604740742,295.0841227617555,468.5072604740742,5.5777505780915675,9.563575982957635,306573.6926229968,1521362.1684728363,98.18181818181819
LSTM,Target,Test,1699.89732893104,714.4740180257027,1542.4583645833334,714.4740180257027,17.08448659234087,7.213277275594005,2889650.928906884,2128595.569401038,68.75
LSTM,SARIMA,Test,2262.533206841181,716.0904688765479,2146.222484376492,716.0904688765479,23.87981588667113,6.669737208780404,5119056.512059038,2694870.303657911,47.91666666666667
Seq2Seq+Attn,Target,Train,269.2679549641063,165.4759849752502,212.42158545454544,165.4759849752502,3.78101828849158,2.9863850562794036,72505.23157055197,106310.48353011606,100.0
Seq2Seq+Attn,SARIMA,Train,553.6909721342735,468.5072604740742,295.0841227617555,468.5072604740742,5.5777505780915675,9.563575982957635,306573.6926229968,1521362.1684728363,98.18181818181819
Seq2Seq+Attn,Target,Test,2541.987506479279,797.7565139736049,2413.5627250000002,797.7565139736049,26.830308673986043,7.379094908786484,6461700.483096744,3354313.4363705316,47.91666666666667
Seq2Seq+Attn,SARIMA,Test,2262.533206841181,716.0904688765479,2146.222484376492,716.0904688765479,23.87981588667113,6.669737208780404,5119056.512059038,2694870.303657911,47.91666666666667
Seq2Seq,Target,Train,269.4512426677725,161.2556926782096,215.87166037735852,161.2556926782096,3.820947454311666,2.910459529595066,72603.9721752068,101910.08586432629,100.0
Seq2Seq,SARIMA,Train,552.1809437421515,472.7920461771319,285.25685917014124,472.7920461771319,5.329745370672102,9.621612203104657,304903.794631973,1549141.6876882866,98.11320754716981
Seq2Seq,Target,Test,2638.697467051222,821.7463388099954,2507.4802645833333,821.7463388099954,27.881476261427434,7.61218780330185,6962724.322622535,3565253.6228230707,45.83333333333333
Seq2Seq,SARIMA,Test,2262.533206841181,716.0904688765479,2146.222484376492,716.0904688765479,23.87981588667113,6.669737208780404,5119056.512059038,2694870.303657911,47.91666666666667
TCN,Target,Train,343.1286108184559,218.6816224540762,264.41556603773597,218.6816224540762,4.544165884029677,3.6474226715104088,117737.2435622034,169108.458929172,100.0
TCN,SARIMA,Train,552.1809437421515,472.7920461771319,285.25685917014124,472.7920461771319,5.329745370672102,9.621612203104657,304903.794631973,1549141.6876882866,98.11320754716981
TCN,Target,Test,2232.832050011578,1297.0766466801704,1817.4518249999999,1297.0766466801704,20.88936045742039,15.624857045805696,4985538.963558906,7088184.511949106,89.58333333333334
TCN,SARIMA,Test,2262.533206841181,716.0904688765479,2146.222484376492,716.0904688765479,23.87981588667113,6.669737208780404,5119056.512059038,2694870.303657911,47.91666666666667
Transformer,Target,Train,322.18216906514857,197.42880993638252,254.60403584905663,197.42880993638252,4.531235981862084,3.708928459263203,103801.35006352396,132168.8409810829,100.0
Transformer,SARIMA,Train,552.1809437421515,472.7920461771319,285.25685917014124,472.7920461771319,5.329745370672102,9.621612203104657,304903.794631973,1549141.6876882866,98.11320754716981
Transformer,Target,Test,2982.2513207248826,832.0065422650044,2863.841485416667,832.0065422650044,31.96675764340129,7.353688060271919,8893822.939965308,4167796.0664471067,43.75
Transformer,SARIMA,Test,2262.533206841181,716.0904688765479,2146.222484376492,716.0904688765479,23.87981588667113,6.669737208780404,5119056.512059038,2694870.303657911,47.91666666666667
